GridID,TimeInterval,DataCount
14.0,2012-11-01 18:20:00-2012-11-01 18:40:00,14
14.0,2012-11-01 18:40:00-2012-11-01 19:00:00,17
14.0,2012-11-01 19:00:00-2012-11-01 19:20:00,11
14.0,2012-11-01 19:20:00-2012-11-01 19:40:00,12
14.0,2012-11-01 19:40:00-2012-11-01 20:00:00,15
14.0,2012-11-01 20:00:00-2012-11-01 20:20:00,12
14.0,2012-11-01 20:20:00-2012-11-01 20:40:00,11
14.0,2012-11-01 20:40:00-2012-11-01 21:00:00,5
14.0,2012-11-01 21:00:00-2012-11-01 21:20:00,15
14.0,2012-11-01 21:20:00-2012-11-01 21:40:00,12
14.0,2012-11-01 21:40:00-2012-11-01 22:00:00,6
14.0,2012-11-01 22:00:00-2012-11-01 22:20:00,8
14.0,2012-11-01 22:20:00-2012-11-01 22:40:00,8
14.0,2012-11-01 22:40:00-2012-11-01 23:00:00,7
14.0,2012-11-01 23:00:00-2012-11-01 23:20:00,7
14.0,2012-11-01 23:20:00-2012-11-01 23:40:00,3
14.0,2012-11-01 23:40:00-2012-11-02 00:00:00,2
15.0,2012-11-01 00:00:00-2012-11-01 00:20:00,1
15.0,2012-11-01 00:20:00-2012-11-01 00:40:00,12
15.0,2012-11-01 00:40:00-2012-11-01 01:00:00,8
15.0,2012-11-01 01:00:00-2012-11-01 01:20:00,6
15.0,2012-11-01 01:20:00-2012-11-01 01:40:00,4
15.0,2012-11-01 01:40:00-2012-11-01 02:00:00,9
15.0,2012-11-01 02:00:00-2012-11-01 02:20:00,4
15.0,2012-11-01 02:20:00-2012-11-01 02:40:00,3
15.0,2012-11-01 02:40:00-2012-11-01 03:00:00,2
15.0,2012-11-01 03:00:00-2012-11-01 03:20:00,1
15.0,2012-11-01 03:20:00-2012-11-01 03:40:00,1
15.0,2012-11-01 04:00:00-2012-11-01 04:20:00,2
15.0,2012-11-01 04:20:00-2012-11-01 04:40:00,2
15.0,2012-11-01 04:40:00-2012-11-01 05:00:00,1
15.0,2012-11-01 05:00:00-2012-11-01 05:20:00,7
15.0,2012-11-01 05:20:00-2012-11-01 05:40:00,8
15.0,2012-11-01 05:40:00-2012-11-01 06:00:00,8
15.0,2012-11-01 06:00:00-2012-11-01 06:20:00,9
15.0,2012-11-01 06:20:00-2012-11-01 06:40:00,16
15.0,2012-11-01 06:40:00-2012-11-01 07:00:00,20
15.0,2012-11-01 07:00:00-2012-11-01 07:20:00,28
15.0,2012-11-01 07:20:00-2012-11-01 07:40:00,45
15.0,2012-11-01 07:40:00-2012-11-01 08:00:00,45
15.0,2012-11-01 08:00:00-2012-11-01 08:20:00,65
15.0,2012-11-01 08:20:00-2012-11-01 08:40:00,80
15.0,2012-11-01 08:40:00-2012-11-01 09:00:00,51
15.0,2012-11-01 09:00:00-2012-11-01 09:20:00,55
15.0,2012-11-01 09:20:00-2012-11-01 09:40:00,34
15.0,2012-11-01 09:40:00-2012-11-01 10:00:00,30
15.0,2012-11-01 10:00:00-2012-11-01 10:20:00,42
15.0,2012-11-01 10:20:00-2012-11-01 10:40:00,45
15.0,2012-11-01 10:40:00-2012-11-01 11:00:00,33
15.0,2012-11-01 11:00:00-2012-11-01 11:20:00,36
15.0,2012-11-01 11:20:00-2012-11-01 11:40:00,31
15.0,2012-11-01 11:40:00-2012-11-01 12:00:00,30
15.0,2012-11-01 12:00:00-2012-11-01 12:20:00,40
15.0,2012-11-01 12:20:00-2012-11-01 12:40:00,30
15.0,2012-11-01 12:40:00-2012-11-01 13:00:00,38
15.0,2012-11-01 13:00:00-2012-11-01 13:20:00,37
15.0,2012-11-01 13:20:00-2012-11-01 13:40:00,24
15.0,2012-11-01 13:40:00-2012-11-01 14:00:00,45
15.0,2012-11-01 14:00:00-2012-11-01 14:20:00,37
15.0,2012-11-01 14:20:00-2012-11-01 14:40:00,43
15.0,2012-11-01 14:40:00-2012-11-01 15:00:00,29
15.0,2012-11-01 15:00:00-2012-11-01 15:20:00,39
15.0,2012-11-01 15:20:00-2012-11-01 15:40:00,47
15.0,2012-11-01 15:40:00-2012-11-01 16:00:00,28
15.0,2012-11-01 16:00:00-2012-11-01 16:20:00,22
15.0,2012-11-01 16:20:00-2012-11-01 16:40:00,49
15.0,2012-11-01 16:40:00-2012-11-01 17:00:00,41
15.0,2012-11-01 17:00:00-2012-11-01 17:20:00,32
15.0,2012-11-01 17:20:00-2012-11-01 17:40:00,37
15.0,2012-11-01 17:40:00-2012-11-01 18:00:00,31
15.0,2012-11-01 18:00:00-2012-11-01 18:20:00,43
15.0,2012-11-01 18:20:00-2012-11-01 18:40:00,49
15.0,2012-11-01 18:40:00-2012-11-01 19:00:00,31
15.0,2012-11-01 19:00:00-2012-11-01 19:20:00,42
15.0,2012-11-01 19:20:00-2012-11-01 19:40:00,27
15.0,2012-11-01 19:40:00-2012-11-01 20:00:00,36
